budget,casting,director,duration,entries,film_id,genres,img_src,nationality,release,societies,synopsis,title
,Freddy Mouchard|Franck Thézan|Martine Gautier|Raphaëlle Lenoble,Freddy Mouchard,117,,326550,Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/07/14/11/2767913.jpg,France,2024-04-10,Betel films,"À peine arrivé à Montségur, Guillaume cherche à comprendre ce qui s’est passé dans cette région des Pyrénées au XIII e siècle lors des croisades contre les Cathares. Au fur et mesure des visites de châteaux, des lectures et des randonnées dans les montagnes, les mémoires du Moyen Âge se réactivent. Plusieurs espaces-temps s’ouvrent simultanément. De retour à Paris, l’appel se renouvelle, Guillaume est submergé par les images du passé. Il décide de repartir de nouveau en Ariège pour essayer de sortir de son mal-être. Au fil des quatre saisons, en immersion dans les montagnes, loin du monde des hommes, il emprunte les sentiers qui le conduisent à se découvrir. Le parcours qui s’ouvre devant lui est un chemin de libération et de réconciliation avec tous les êtres et surtout ceux du passé. La sagesse des Cathares n’a pas disparu. Au- delà des époques, elle est toujours vivante et accessible pour ceux qui veulent s’en approcher.","Réconciliation, dans les pas des Cathares"
,Doru Nicolae Bem|Corneliu Ciprian Chiricheş|Mario-Gheorghe Dinu|Nicoleta Lefter|Ana Ciontea|Ion Coman|Cristina Flutur,Andrei Cohn,133,,308334,Drame|Historique,https://fr.web.img3.acsta.net/c_310_420/pictures/24/03/12/15/21/0008161.jpg,Turquie|Roumanie|Suisse|France,2024-04-10,Mandragora|Bord Cadre Films|Zeynofilm|Shellac,"Au début du XXe siècle, dans un petit village roumain, les tensions entre Leiba, un aubergiste juif, et son employé chrétien, Gheorghe, atteignent leur point de non-retour lorsque ce dernier promet de venir régler ses comptes la nuit de Pâques… ",Semaine sainte
,Michele Brousse|Xavier Bélony Mussel|Laurent Levy|Rémi Guelfi|Xavier-Adrien Laurent|Jean-Yves Duparc|Philippe Saïd|Belen Lorenzo,Xavier Bélony Mussel,72,,326594,Comédie,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/26/13/39/3484714.jpg,Suisse,2024-04-10,Parallaxe Films|DHR distribution / A Vif Cinemas,"Professeur de cinéma et réalisateur vétéran, Xavie débarque dans une maison de campagne pour tourner un film. Il est accompagné de quelques élèves novices, de vieux compères de jeunesse, et de deux anciennes vedettes. Souhaitant faire un film aussi vivant que la vie, Xavie débute le tournage qui consiste à se laisser guider par les signes du hasard...",Le Naméssime
,Mary Woodvine|Edward Rowe|Flo Crowe|John Woodvine|Joe Gray|Isaac Woodvine|Morgan Val Baker|Dion Star,Mark Jenkin,91,,303229,Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/24/03/05/11/01/1176054.jpg,Grande-Bretagne,2024-04-10,Ed Distribution|Protagonist Pictures,"Sur une île inhabitée des Cornouailles, une bénévole passionnée de vie sauvage se livre à des observations quotidiennes sur une fleur rare. Sa vie est hypnotique dans sa monotonie, elle répète les mêmes gestes jour après jour, comme un rituel. Au fur et à mesure, des sons et des images provenant d'autres temporalités commencent à s'infiltrer, perturbant progressivement son équilibre.",Enys Men
,Akshay Kumar|Tiger Shroff|Prithviraj Sukumaran|Sonakshi Sinha|Manushi Chhillar|Alaya F|Jugal Hansraj,Ali Abbas Zafar,164,,326205,Action|Aventure|Comédie,https://fr.web.img6.acsta.net/c_310_420/img/69/23/6923f338a195bab04273d3a4cb8d3021.jpg,Inde,2024-04-10,Friday Entertainment,"Par lé réalisateur de SULTAN & TIGER ZINDA HAI. Lorsqu'un ennemi masqué s'élève au sein de la nation, ciblant sans pitié les militaires en volant l'arme la plus dangereuse du pays. Le colonel Azad envoie son meilleur officier dénicher deux légendes de son unité pour la mission. Avec leurs personnalités opposées et leurs méthodes originales, Bade Miyan et Chote Miyan doivent surmonter leurs différences et travailler ensemble...",Bade Miyan Chote Miyan
,Maggie Cheung|Chin Han|Tony Leung Chiu-Wai|Waise Lee|Carina Lau|Stanley Kwan|Lawrence Ng|Cecilia Yip,Stanley Kwan,155,,8784,Biopic|Drame|Romance,https://fr.web.img2.acsta.net/c_310_420/pictures/24/02/20/18/18/2373560.jpg,Hong-Kong,2024-04-10,Golden Way Films Ltd.|Carlotta Films,"Surnommée la « Greta Garbo chinoise », Ruan Lingyu fut une star du cinéma muet dans le Shanghai des années 1920-1930. Elle débuta sa carrière à l’âge de seize ans et tourna dans plus d’une vingtaine de films pour les grands studios de l’époque. Épinglée par la presse à scandale pour sa vie « dissolue », elle mettra fin à ses jours à seulement vingt-cinq ans. Bien des années plus tard, en 1991, une équipe de cinéma venue de Hong Kong et menée par le réalisateur Stanley Kwan est à Shanghai pour reconstituer la vie et la carrière éclair de Ruan Lingyu...",Center Stage
,Sau Lan Chow|Elaine Jin|Tony Leung Chiu-Wai|Tsai Chin|Chow Yun-Fat|Irene Wan,Stanley Kwan,98,,43552,Drame|Romance,,Hong-Kong,2024-04-10,Carlotta Films,"Trois amies aux rêves de gloire tentent de percer dans leur domaine respectif : le mannequinat pour Billie, la musique pour Suk-ling et le cinéma pour Yuk-ping. Rencontré lors d’une soirée arrosée, Tony, jeune homme oisif issu d’une famille aisée, est vite intégré à la bande et entame une relation avec Billie. Leur quotidien est mis à mal lorsque Yuk-ping est retrouvée morte, assassinée dans son appartement. Chargé de l’enquête, le détective Lan va se rapprocher des amis endeuillés...",Amours déchus
,Liu Ye|Hu Jun|Su Jin|Li Huatong|Lu Fang|Zhang Yongning|Shuang Li|Minfen Zhao,Stanley Kwan,87,,41743,Drame|Romance,https://fr.web.img3.acsta.net/c_310_420/pictures/24/02/20/18/18/2588862.jpg,Hong-Kong|Chine,2024-04-10,Carlotta Films,"Pékin, fin des années 1980. Fils d’une famille aisée, Chen Handong est un golden boy à qui tout réussit. Seule personne de son entourage à être courant de son homosexualité, son fidèle employé Liu Zheng lui présente régulièrement de jeunes garçons. C’est ainsi qu’un soir Handong fait la connaissance de Lan Yu, étudiant en architecture fraîchement débarqué de sa province. Cette aventure passagère va faire place à une liaison passionnée entre ces deux hommes que tout oppose...",Lan Yu
,Ajay Devgan|Priyamani|Gajraj Rao|Bhavesh Lohar|Rudranil Ghosh|Keerthy Suresh,Amit Ravindernath Sharma,181,,280765,Biopic|Bollywood|Drame|Évènement Sportif,https://fr.web.img3.acsta.net/c_310_420/img/2d/98/2d981c0d676f4c8b2283495e4fbffef7.jpg,Inde,2024-04-10,Night ed films,"Inspiré sur la vraie vie de l'entraîneur et gestionnaire de l'équipe nationale de football indienne, Syed Abdul Rahim, considéré comme l'architecte du football indien.",Maidaan
,Leslie Cheung|Anita Mui|Alex Man|Kara Hui|Ruby Wong|Emily Chu|Irene Wan|Sin Hung Tam,Stanley Kwan,97,,40376,Drame|Fantastique|Romance,,Hong-Kong,2024-04-10,Golden Way Films Ltd.|Carlotta Films|Golden Harvest Company Ltd.,"Hong Kong, 1934. Fleur est courtisane dans une maison close fréquentée par la haute société. Lorsqu’elle rencontre un séduisant client du nom de Chan Chen-Pang, le coup de foudre est immédiat. Alors qu’ils souhaitent officialiser leur union, les parents du jeune homme s’y opposent formellement. Les amants décident alors de se suicider ensemble, se promettant de se retrouver dans l’autre monde. Cinquante ans plus tard, en 1987, le fantôme de Fleur revient hanter Hong Kong à la recherche de son amour perdu, aidé dans sa quête par un couple de journalistes...",Rouge
